"url","issue","detail","priority","owner_action_required"
"/blog/emergency-drain-cleaning-in-fort-worth-fast-homeowner-guide","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/emergency-drain-cleaning-in-frisco-what-to-expect","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/emergency-drain-cleaning-in-frisco-what-to-expect","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/emergency-plumber-in-plano-when-to-call-now","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/emergency-plumber-in-plano-when-to-call-now","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/emergency-plumber-near-me-open-now-what-to-do-before-help-arrives","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/emergency-plumber-near-me-open-now-what-to-do-before-help-arrives","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/emergency-plumber-vs-regular-plumber-what-is-the-difference","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/emergency-plumber-vs-regular-plumber-what-is-the-difference","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/emergency-plumbing-cost-guide-for-dallas-homeowners","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/emergency-plumbing-cost-guide-for-dallas-homeowners","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/emergency-plumbing-in-arlington-tx-common-night-and-weekend-problems","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/emergency-plumbing-in-arlington-tx-common-night-and-weekend-problems","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/emergency-sewer-help-in-garland-signs-and-next-steps","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/emergency-sewer-help-in-garland-signs-and-next-steps","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/how-long-should-emergency-drain-cleaning-take","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/how-long-should-emergency-drain-cleaning-take","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/how-to-know-if-a-clogged-drain-is-actually-a-sewer-line-problem","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/how-to-know-if-a-clogged-drain-is-actually-a-sewer-line-problem","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/kitchen-sink-backing-up-in-dallas-signs-you-need-drain-help","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/kitchen-sink-backing-up-in-dallas-signs-you-need-drain-help","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/main-sewer-line-clogged-in-dallas-warning-signs-and-fast-options","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/main-sewer-line-clogged-in-dallas-warning-signs-and-fast-options","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/roto-rooter-vs-local-emergency-plumber-in-dallas-which-should-you-call","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/roto-rooter-vs-local-emergency-plumber-in-dallas-which-should-you-call","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/same-day-drain-cleaning-in-dallas-what-to-expect","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/same-day-drain-cleaning-in-dallas-what-to-expect","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/sewer-backup-in-fort-worth-what-it-means-and-who-to-call","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/sewer-backup-in-fort-worth-what-it-means-and-who-to-call","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/signs-your-main-drain-needs-same-day-service","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/signs-your-main-drain-needs-same-day-service","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/toilet-overflowing-at-night-in-dallas-fast-steps-for-homeowners","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/toilet-overflowing-at-night-in-dallas-fast-steps-for-homeowners","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/toilet-shower-and-sink-backing-up-together-what-it-means","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/toilet-shower-and-sink-backing-up-together-what-it-means","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/water-heater-leaking-in-dallas-emergency-signs-to-watch","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/water-heater-leaking-in-dallas-emergency-signs-to-watch","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/blog/what-counts-as-a-plumbing-emergency","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/blog/what-counts-as-a-plumbing-emergency","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/allen","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/allen","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/allen","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/arlington","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/arlington","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/arlington","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/arlington/24-hour-emergency-plumber","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/arlington/24-hour-emergency-plumber","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/arlington/24-hour-emergency-plumber","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/arlington/emergency-drain-cleaning","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/arlington/emergency-drain-cleaning","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/arlington/emergency-drain-cleaning","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/bedford","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/bedford","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/bedford","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/carrollton","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/carrollton","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/carrollton","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/cedar-hill","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/cedar-hill","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/cedar-hill","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/dallas","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/dallas","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/dallas","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/dallas/24-hour-emergency-plumber","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/dallas/24-hour-emergency-plumber","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/dallas/24-hour-emergency-plumber","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/dallas/emergency-drain-cleaning","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/dallas/emergency-drain-cleaning","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/dallas/emergency-drain-cleaning","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/denton","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/denton","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/denton","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/desoto","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/desoto","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/desoto","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/duncanville","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/duncanville","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/duncanville","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/euless","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/euless","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/euless","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/flower-mound","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/flower-mound","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/flower-mound","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/fort-worth","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/fort-worth","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/fort-worth","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/fort-worth/24-hour-emergency-plumber","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/fort-worth/24-hour-emergency-plumber","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/fort-worth/24-hour-emergency-plumber","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/fort-worth/emergency-drain-cleaning","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/fort-worth/emergency-drain-cleaning","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/fort-worth/emergency-drain-cleaning","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/frisco","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/frisco","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/frisco","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/frisco/24-hour-emergency-plumber","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/frisco/24-hour-emergency-plumber","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/frisco/24-hour-emergency-plumber","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/frisco/emergency-drain-cleaning","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/frisco/emergency-drain-cleaning","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/frisco/emergency-drain-cleaning","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/garland","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/garland","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/garland","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/garland/24-hour-emergency-plumber","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/garland/24-hour-emergency-plumber","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/garland/24-hour-emergency-plumber","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/garland/emergency-drain-cleaning","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/garland/emergency-drain-cleaning","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/garland/emergency-drain-cleaning","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/grand-prairie","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/grand-prairie","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/grand-prairie","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/grapevine","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/grapevine","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/grapevine","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/hurst","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/hurst","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/hurst","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/irving","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/irving","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/irving","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/irving/24-hour-emergency-plumber","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/irving/24-hour-emergency-plumber","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/irving/24-hour-emergency-plumber","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/irving/emergency-drain-cleaning","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/irving/emergency-drain-cleaning","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/irving/emergency-drain-cleaning","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/keller","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/keller","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/keller","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/lewisville","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/lewisville","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/lewisville","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/mansfield","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/mansfield","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/mansfield","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/mckinney","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/mckinney","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/mckinney","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/mckinney/24-hour-emergency-plumber","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/mckinney/24-hour-emergency-plumber","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/mckinney/24-hour-emergency-plumber","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/mckinney/emergency-drain-cleaning","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/mckinney/emergency-drain-cleaning","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/mckinney/emergency-drain-cleaning","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/mesquite","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/mesquite","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/mesquite","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/plano","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/plano","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/plano","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/plano/24-hour-emergency-plumber","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/plano/24-hour-emergency-plumber","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/plano/24-hour-emergency-plumber","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/plano/emergency-drain-cleaning","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/plano/emergency-drain-cleaning","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/plano/emergency-drain-cleaning","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/richardson","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/richardson","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/richardson","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/rockwall","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/rockwall","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/rockwall","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/rowlett","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/rowlett","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/rowlett","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/southlake","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/southlake","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/southlake","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/the-colony","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/the-colony","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/the-colony","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/cities/wylie","No active tel link because tracking phone is a placeholder","Owner must add real tracking phone values before launch.","P1","owner"
"/cities/wylie","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/cities/wylie","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
"/contact","Call event hook is declarative only","data-call-event-url exists, but no client-side click handler fires /api/call-event.","P2","codex"
"/contact","Form submits to JSON endpoint without a user-facing confirmation page","POST /api/lead returns JSON; browser form submission will leave the page experience.","P2","codex"
