"URL","original status","decision","parent topic","source page receiving link","anchor text","target page","redirect destination if any","sitemap status","final crawl depth","validation result","notes"
"/blog/emergency-drain-cleaning-in-frisco-what-to-expect","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Emergency Drain Cleaning in Frisco: What to Expect","/blog/emergency-drain-cleaning-in-frisco-what-to-expect","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/emergency-plumber-in-plano-when-to-call-now","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Emergency Plumber in Plano: When to Call Now","/blog/emergency-plumber-in-plano-when-to-call-now","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/emergency-plumber-vs-regular-plumber-what-is-the-difference","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Emergency Plumber vs Regular Plumber: What Is the Difference","/blog/emergency-plumber-vs-regular-plumber-what-is-the-difference","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/emergency-plumbing-cost-guide-for-dallas-homeowners","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Emergency Plumbing Cost Guide for Dallas Homeowners","/blog/emergency-plumbing-cost-guide-for-dallas-homeowners","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/emergency-plumbing-in-arlington-tx-common-night-and-weekend-problems","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Emergency Plumbing in Arlington TX: Common Night and Weekend Problems","/blog/emergency-plumbing-in-arlington-tx-common-night-and-weekend-problems","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/emergency-sewer-help-in-garland-signs-and-next-steps","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Emergency Sewer Help in Garland: Signs and Next Steps","/blog/emergency-sewer-help-in-garland-signs-and-next-steps","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/how-long-should-emergency-drain-cleaning-take","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","How Long Should Emergency Drain Cleaning Take","/blog/how-long-should-emergency-drain-cleaning-take","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/how-to-know-if-a-clogged-drain-is-actually-a-sewer-line-problem","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","How to Know if a Clogged Drain Is Actually a Sewer Line Problem","/blog/how-to-know-if-a-clogged-drain-is-actually-a-sewer-line-problem","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/kitchen-sink-backing-up-in-dallas-signs-you-need-drain-help","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Kitchen Sink Backing Up in Dallas: Signs You Need Drain Help","/blog/kitchen-sink-backing-up-in-dallas-signs-you-need-drain-help","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/main-sewer-line-clogged-in-dallas-warning-signs-and-fast-options","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Main Sewer Line Clogged in Dallas: Warning Signs and Fast Options","/blog/main-sewer-line-clogged-in-dallas-warning-signs-and-fast-options","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/roto-rooter-vs-local-emergency-plumber-in-dallas-which-should-you-call","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Roto-Rooter vs Local Emergency Plumber in Dallas: Which Should You Call","/blog/roto-rooter-vs-local-emergency-plumber-in-dallas-which-should-you-call","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/same-day-drain-cleaning-in-dallas-what-to-expect","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Same-Day Drain Cleaning in Dallas: What to Expect","/blog/same-day-drain-cleaning-in-dallas-what-to-expect","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/sewer-backup-in-fort-worth-what-it-means-and-who-to-call","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Sewer Backup in Fort Worth: What It Means and Who to Call","/blog/sewer-backup-in-fort-worth-what-it-means-and-who-to-call","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/signs-your-main-drain-needs-same-day-service","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Signs Your Main Drain Needs Same-Day Service","/blog/signs-your-main-drain-needs-same-day-service","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/toilet-overflowing-at-night-in-dallas-fast-steps-for-homeowners","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Toilet Overflowing at Night in Dallas: Fast Steps for Homeowners","/blog/toilet-overflowing-at-night-in-dallas-fast-steps-for-homeowners","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/toilet-shower-and-sink-backing-up-together-what-it-means","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Toilet, Shower, and Sink Backing Up Together: What It Means","/blog/toilet-shower-and-sink-backing-up-together-what-it-means","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/water-heater-leaking-in-dallas-emergency-signs-to-watch","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","Water Heater Leaking in Dallas: Emergency Signs to Watch","/blog/water-heater-leaking-in-dallas-emergency-signs-to-watch","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
"/blog/what-counts-as-a-plumbing-emergency","unexplained orphan in Session 1","KEEP AND LINK","Emergency plumbing guide hub","/blog","What Counts as a Plumbing Emergency","/blog/what-counts-as-a-plumbing-emergency","","included","2","resolved","Linked from the new /blog hub; page retained because it supports useful homeowner education and related commercial service intent."
