Root,File,Bytes,Lines
reports,reports/phase2_session2_priority_queue.md,3454,18
reports,reports/phase2_session2_repair_report.md,2494,61
reports,reports/phase2_session3_priority_queue.md,1402,13
reports,reports/phase2_three_session_master_report.md,5148,88
reports,reports/phase2_truthfulness_audit.md,1090,27
reports,reports/phase2_unresolved_manual_tasks.md,396,14
reports,reports/phase2_verification_and_completion_report.md,2637,81
reports,reports/post_vercel_deployment_report.md,2359,90
reports,reports/press_angles.md,356,8
reports,reports/public_copy_cleanup_report.md,866,32
reports,reports/qa_launch_log.csv,1022,15
reports,reports/remaining_owner_inputs.md,1108,37
reports,reports/seo_aeo_execution_report.md,1158,11
reports,reports/vercel_deployment_readiness_report.md,1446,50
reports,reports/visual_asset_plan_report.md,833,24
reports,reports/whatsapp_objections_resolution.md,1526,39
command-center,command-center/CHATGPT_WORK_INSTRUCTIONS.txt,908,28
command-center,command-center/CODEX_DAILY_EXECUTION_COMMAND.txt,508,16
command-center,command-center/CODEX_FULL_CONTROL_STARTER.txt,784,26
command-center,command-center/CODEX_NIGHT_SHIFT_V2.txt,695,19
command-center,command-center/final_3_day_command.txt,1960,57
command-center,command-center/NEXT_CODEX_TASK.txt,221,2
command-center,command-center/NEXT_CODEX_TASK_AFTER_DNS.txt,808,19
command-center,command-center/NEXT_OWNER_STEP.txt,157,2
ops,ops/AEO_POLICY.md,860,26
ops,ops/api_safety_policy.md,1622,40
ops,ops/api_sync_workflow.md,1498,48
ops,ops/business_model.md,517,8
ops,ops/codex_minimum_context.md,3556,95
ops,ops/competitor_visual_analysis_notes.md,242,6
ops,ops/continuous_growth_plan.md,371,14
ops,ops/daily_scorecard.csv,314,3
ops,ops/day2_content_architecture.md,3312,105
ops,ops/EPICS.md,812,26
ops,ops/google_business_profile_strategy.md,496,8
ops,ops/image_asset_tracker.csv,4260,23
ops,ops/image_safety_policy.md,589,13
ops,ops/link_building_strategy.md,427,21
ops,ops/manual_owner_steps.md,433,14
ops,ops/marketing_strategy.md,742,14
ops,ops/master_dashboard_specification.md,404,18
ops,ops/MASTER_INTEGRATION_WORKFLOW.md,3734,81
ops,ops/next_15_days_queue.md,765,18
ops,ops/night_shift_operating_procedure.md,519,21
ops,ops/OPERATING_MANUAL.md,2153,78
ops,ops/platform_architecture.md,804,28
ops,ops/PPC_MASTER_AUTOMATION_PLAN.md,662,29
ops,ops/pre_codex_colab_summary.md,498,15
ops,ops/PROJECT_BLUEPRINT.md,951,38
ops,ops/safety_rules.md,525,8
ops,ops/scaling_plan_2_year.md,544,14
ops,ops/seo_aeo_strategy.md,791,22
ops,ops/visual_style_guide.md,603,19
ops,ops/weekly_review_template.md,304,23
strategy,strategy/day3_page_priority_matrix.csv,1496,8
strategy,strategy/day3_topical_gap_analysis.csv,2711,10
authority,authority/business_submission_profile.md,519,21
authority,authority/day3_linkable_asset_readiness.md,1343,28
authority,authority/day5_citation_priority_list.csv,523,5
authority,authority/day5_owner_verification_requirements.md,491,16
authority,authority/day5_quality_scoring_method.md,703,20
authority,authority/day5_rejected_opportunities.csv,423,7
authority,authority/day5_unpaid_backlink_prospects.csv,750,5
authority,authority/day6_customized_outreach.md,383,11
authority,authority/day6_customized_submissions.md,572,13
authority,authority/day6_linkable_asset_inventory.csv,395,4
authority,authority/day6_manual_action_pack.md,420,16
authority,authority/linkable_asset_final.md,482,18
authority,authority/outreach_tracker.csv,348,4
authority,authority/owner_submission_checklist.md,423,9
authority,authority/unpaid_backlink_policy.md,1388,40
authority,authority/unpaid_backlink_quality_filter.csv,1852,14
authority,authority/unpaid_outreach_templates.md,731,20
